gene1	gene2	time1_n_observed	time2_n_observed	n_expected_gene1_cas9	n_expected_gene2_cpf1
PRKCZ	PRKCI	15	15	3	5
PRPF40A	PRPF40B	15	15	3	5
PRPF40B	PRPF40A	15	15	3	5
PRPSAP1	PRPSAP2	15	15	3	5
PRPSAP2	PRPSAP1	15	15	3	5
PRRX1	PRRX2	6	6	3	2
PRRX2	PRRX1	15	15	3	5
PSEN1	PSEN2	15	15	3	5
PSEN2	PSEN1	15	15	3	5
PSMA7	PSMA8	15	15	15	5
PSMA8	PSMA7	15	15	3	5
PTBP1	PTBP2	15	15	6	10
PTBP2	PTBP1	15	15	6	10
PTBP1	PTBP3	15	15	6	10
PTBP3	PTBP1	15	15	6	10
PTBP2	PTBP3	15	15	6	10
PTBP3	PTBP2	15	15	6	10
PTCH1	PTCH2	15	15	3	5
PTCH2	PTCH1	15	15	3	5
PTGS2	PTGS1	15	15	3	5
PTGS1	PTGS2	15	15	3	5
PTK2	PTK2B	15	15	3	5
PTK2B	PTK2	15	15	3	5
PTPN1	PTPN2	15	15	3	5
PTPN2	PTPN1	15	15	3	5
PTPRG	PTPRZ1	15	15	3	5
PTPRZ1	PTPRG	15	15	3	5
PUM1	PUM2	15	15	3	5
PUM2	PUM1	15	15	3	5
PWWP2A	PWWP2B	15	15	3	5
PWWP2B	PWWP2A	15	15	3	5
PXN	TGFB1I1	15	15	3	5
TGFB1I1	PXN	15	15	3	5
QPCTL	QPCT	15	15	3	5
QPCT	QPCTL	15	15	3	5
QSOX1	QSOX2	15	15	3	5
QSOX2	QSOX1	15	15	3	5
R3HCC1	R3HCC1L	15	15	3	5
R3HCC1L	R3HCC1	15	15	3	5
RAB1A	RAB1B	15	15	3	5
RAB1B	RAB1A	15	15	3	5
RAB4A	RAB4B	12	12	3	4
RAB4B	RAB4A	15	15	3	5
RAB9A	RAB9B	15	15	3	5
RAB9B	RAB9A	15	15	3	5
RAB11A	RAB11B	3	3	3	1
RAB11B	RAB11A	15	15	3	5
RAB31	RAB22A	15	15	3	5
RAB22A	RAB31	15	15	3	5
RAB26	RAB37	15	15	3	5
RAB37	RAB26	15	15	3	5
RAB33B	RAB33A	15	15	3	5
RAB33A	RAB33B	15	15	3	5
RAB34	RAB36	15	15	3	5
RAB36	RAB34	15	15	3	5
RAB39A	RAB39B	15	15	3	5
RAB39B	RAB39A	15	15	3	5
RABEP1	RABEP2	15	15	3	5
RABEP2	RABEP1	15	15	3	5
RABGAP1	RABGAP1L	15	15	3	5
RABGAP1L	RABGAP1	15	15	3	5
RAC1	RAC2	9	9	3	3
RAC2	RAC1	15	15	3	5
RAD9A	RAD9B	15	15	3	5
RAD9B	RAD9A	15	15	3	5
RAD23B	RAD23A	15	15	3	5
RAD23A	RAD23B	15	15	3	5
RALGAPA1	RALGAPA2	15	15	3	5
RALGAPA2	RALGAPA1	15	15	3	5
RALGPS2	RALGPS1	15	15	3	5
RALGPS1	RALGPS2	15	15	3	5
RANBP9	RANBP10	15	15	3	5
RANBP10	RANBP9	15	15	3	5
RARG	RARA	15	15	3	5
RARA	RARG	15	15	3	5
RASA3	RASA2	15	15	3	5
RASA2	RASA3	15	15	3	5
RASSF8	RASSF7	15	15	3	5
RASSF7	RASSF8	15	15	3	5
RBBP7	RBBP4	15	15	3	5
RBBP4	RBBP7	15	15	3	5
RBL2	RBL1	15	15	3	5
RBL1	RBL2	15	15	3	5
RBM12	RBM12B	15	15	3	5
RBM12B	RBM12	15	15	3	5
RBM15B	RBM15	15	15	3	5
RBM15	RBM15B	15	15	3	5
RBM39	RBM23	15	15	3	5
RBM23	RBM39	15	15	3	5
RBM26	RBM27	15	15	3	5
RBM27	RBM26	15	15	3	5
RBMS1	RBMS3	15	15	3	5
RBMS3	RBMS1	15	15	3	5
RC3H2	RC3H1	15	15	3	5
RC3H1	RC3H2	15	15	3	5
REEP5	REEP6	6	6	3	2
REEP6	REEP5	15	15	3	5
RFX5	RFX7	15	15	3	5
RFX7	RFX5	15	15	3	5
RGMB	RGMA	15	15	3	5
RGMA	RGMB	15	15	3	5
RHBDF1	RHBDF2	15	15	3	5
RHBDF2	RHBDF1	15	15	3	5
RHOBTB2	RHOBTB1	15	15	3	5
RHOBTB1	RHOBTB2	15	15	3	5
RHOT2	RHOT1	15	15	3	5
RHOT1	RHOT2	15	15	3	5
RHOU	RHOV	15	15	3	5
RHOV	RHOU	15	15	3	5
RHPN2	RHPN1	12	12	3	4
RHPN1	RHPN2	15	15	3	5
RIC8A	RIC8B	15	15	3	5
RIC8B	RIC8A	15	15	3	5
RNF167	RNF13	15	15	3	5
RNF13	RNF167	15	15	3	5
ZNRF3	RNF43	15	15	3	5
RNF43	ZNRF3	15	15	3	5
RNF126	RNF115	15	15	3	5
RNF115	RNF126	9	9	3	3
RNFT1	RNFT2	15	15	3	5
RNFT2	RNFT1	15	15	3	5
ROCK2	ROCK1	15	15	3	5
ROCK1	ROCK2	15	15	3	5
ROR1	ROR2	15	15	3	5
ROR2	ROR1	15	15	3	5
ZNF609	ZNF608	15	15	3	5
ZNF608	ZNF609	15	15	3	5
RPS6KA4	RPS6KA5	15	15	3	5
RPS6KA5	RPS6KA4	15	15	3	5
SNX15	RPS6KC1	15	15	3	5
RPS6KC1	SNX15	15	15	3	5
RPS27	RPS27L	5	5	1	5
RPS27L	RPS27	5	5	1	5
RRAS2	RRAS	4	4	1	4
RRAS	RRAS2	9	9	3	3
YAF2	RYBP	15	15	3	5
RYBP	YAF2	15	15	3	5
SAMD1	SAMD13	15	15	3	5
SAMD13	SAMD1	15	15	3	5
SAMD4B	SAMD4A	15	15	3	5
SAMD4A	SAMD4B	15	15	3	5
SAMD10	SAMD12	15	15	3	5
SAMD12	SAMD10	3	3	3	1
SAP30L	SAP30	15	15	3	5
SAP30	SAP30L	15	15	3	5
SAR1A	SAR1B	15	15	3	5
SAR1B	SAR1A	15	15	3	5
SCAF4	SCAF8	15	15	3	5
SCAF8	SCAF4	15	15	3	5
SCD	SCD5	10	10	2	5
SCD5	SCD	9	9	3	3
SEC11A	SEC11C	15	15	3	5
SEC11C	SEC11A	15	15	3	5
SEC23A	SEC23B	15	15	3	5
SEC23B	SEC23A	15	15	3	5
SEC24B	SEC24A	15	15	3	5
SEC24A	SEC24B	15	15	3	5
SEC24C	SEC24D	15	15	3	5
SEC24D	SEC24C	15	15	3	5
SEC31A	SEC31B	15	15	3	5
SEC31B	SEC31A	15	15	3	5
SEC61A1	SEC61A2	15	15	3	5
SEC61A2	SEC61A1	15	15	3	5
SENP3	SENP5	15	15	3	5
SENP5	SENP3	15	15	3	5
SERINC3	SERINC2	15	15	3	5
SERINC2	SERINC3	15	15	3	5
SERP1	SERP2	15	15	3	5
SERP2	SERP1	15	15	3	5
SESN1	SESN2	15	15	3	5
SESN2	SESN1	15	15	3	5
SETD1A	SETD1B	15	15	3	5
SETD1B	SETD1A	15	15	3	5
SFXN1	SFXN3	15	15	3	5
SFXN3	SFXN1	15	15	3	5
SFXN4	SFXN5	15	15	3	5
SFXN5	SFXN4	15	15	3	5
SGMS1	SGMS2	15	15	3	5
SGMS2	SGMS1	15	15	3	5
SGSM2	SGSM1	15	15	3	5
SGSM1	SGSM2	15	15	3	5
SGTA	SGTB	15	15	3	5
SGTB	SGTA	15	15	3	5
SIN3A	SIN3B	15	15	3	5
SIN3B	SIN3A	15	15	3	5
SIX1	SIX2	6	6	3	2
SIX2	SIX1	15	15	3	5
SIX5	SIX4	15	15	3	5
SIX4	SIX5	15	15	3	5
SLC9A5	SLC9A3	15	15	3	5
SLC9A3	SLC9A5	15	15	3	5
SLC9A3R1	SLC9A3R2	9	9	3	3
SLC9A3R2	SLC9A3R1	15	15	3	5
SLC12A4	SLC12A5	15	15	3	5
SLC12A5	SLC12A4	15	15	3	5
SLC24A1	SLC24A2	15	15	3	5
SLC24A2	SLC24A1	15	15	3	5
SLC25A13	SLC25A12	15	15	3	5
SLC25A12	SLC25A13	15	15	3	5
SLC25A14	SLC25A30	15	15	3	5
SLC25A30	SLC25A14	15	15	3	5
SLC25A37	SLC25A28	15	15	3	5
SLC25A28	SLC25A37	15	15	3	5
SLC25A36	SLC25A33	15	15	3	5
SLC25A33	SLC25A36	15	15	3	5
SLC29A1	SLC29A2	15	15	3	5
SLC29A2	SLC29A1	15	15	3	5
SLC35D1	SLC35D2	15	15	3	5
SLC35D2	SLC35D1	15	15	3	5
SLC41A3	SLC41A2	15	15	3	5
SLC41A2	SLC41A3	15	15	3	5
SLC44A1	SLC44A3	15	15	3	5
SLC44A3	SLC44A1	15	15	3	5
SLC52A2	SLC52A3	15	15	3	5
SLC52A3	SLC52A2	12	12	3	4
SLK	STK10	15	15	3	5
STK10	SLK	15	15	3	5
SMAD6	SMAD7	15	15	3	5
SMAD7	SMAD6	15	15	3	5
SMARCD1	SMARCD2	15	15	3	5
SMARCD2	SMARCD1	15	15	3	5
MIEF1	MIEF2	15	15	3	5
MIEF2	MIEF1	15	15	3	5
SMTN	SMTNL2	15	15	3	5
SMTNL2	SMTN	15	15	3	5
SMURF2	SMURF1	15	15	3	5
SMURF1	SMURF2	15	15	3	5
SNAP23	SNAP25	15	15	3	5
SNAP25	SNAP23	15	15	3	5
SNX3	SNX12	15	15	3	5
SNX12	SNX3	15	15	3	5
SOCS4	SOCS5	12	12	3	4
SOCS5	SOCS4	15	15	3	5
SORBS2	SORBS1	15	15	3	5
SORBS1	SORBS2	15	15	3	5
SOS1	SOS2	15	15	3	5
SOS2	SOS1	15	15	3	5
SOX6	SOX5	15	15	3	5
SOX5	SOX6	15	15	3	5
SOX12	SOX11	15	15	3	5
SOX11	SOX12	9	9	3	3
SP3	SP1	15	15	3	5
SP1	SP3	15	15	3	5
SPARC	SPARCL1	15	15	3	5
SPARCL1	SPARC	15	15	3	5
SPATA2	SPATA2L	6	6	3	2
SPATA2L	SPATA2	15	15	3	5
SPATA6	SPATA6L	15	15	3	5
SPATA6L	SPATA6	15	15	3	5
SPECC1	SPECC1L	15	15	3	5
SPECC1L	SPECC1	15	15	3	5
SPIRE1	SPIRE2	15	15	3	5
SPIRE2	SPIRE1	15	15	3	5
SPOP	SPOPL	15	15	3	5
SPOPL	SPOP	15	15	3	5
SPSB1	SPSB4	6	6	3	2
SPSB4	SPSB1	15	15	3	5
SPTLC2	SPTLC3	15	15	3	5
SPTLC3	SPTLC2	15	15	3	5
SRSF11	SREK1	15	15	3	5
SREK1	SRSF11	15	15	3	5
SRSF1	SRSF9	15	15	15	5
SRSF9	SRSF1	5	5	1	5
SS18	SS18L1	9	9	3	3
SS18L1	SS18	15	15	3	5
SSH1	SSH2	3	3	3	1
SSH2	SSH1	15	15	3	5
ST8SIA4	ST8SIA2	15	15	3	5
ST8SIA2	ST8SIA4	15	15	3	5
STAM	STAM2	15	15	3	5
STAM2	STAM	15	15	3	5
STAU1	STAU2	15	15	3	5
STAU2	STAU1	15	15	3	5
STK4	STK3	15	15	3	5
STK3	STK4	15	15	3	5
STK38L	STK38	15	15	3	5
STK38	STK38L	15	15	3	5
STOX2	STOX1	15	15	3	5
STOX1	STOX2	15	15	3	5
STRADB	STRADA	10	10	2	5
STRADA	STRADB	15	15	3	5
STRIP1	STRIP2	15	15	3	5
STRIP2	STRIP1	15	15	3	5
STX1A	STX1B	15	15	3	5
STX1B	STX1A	15	15	3	5
STX10	STX6	15	15	3	5
STX6	STX10	9	9	3	3
STX7	STX12	15	15	3	5
STX12	STX7	15	15	3	5
SULF2	SULF1	15	15	3	5
SULF1	SULF2	15	15	3	5
SUN1	SUN2	15	15	3	5
SUN2	SUN1	15	15	3	5
SYCP2L	SYCP2	15	15	3	5
SYCP2	SYCP2L	15	15	3	5
SYDE1	SYDE2	15	15	3	5
SYDE2	SYDE1	15	15	3	5
TAF4	TAF4B	15	15	3	5
TAF4B	TAF4	15	15	3	5
TANC2	TANC1	15	15	3	5
TANC1	TANC2	15	15	3	5
TARS	TARSL2	15	15	15	5
TARSL2	TARS	15	15	3	5
TBC1D1	TBC1D4	15	15	3	5
TBC1D4	TBC1D1	15	15	3	5
TBC1D9B	TBC1D9	15	15	3	5
TBC1D9	TBC1D9B	15	15	3	5
TBC1D10B	TBC1D10A	15	15	3	5
TBC1D10A	TBC1D10B	15	15	3	5
TBC1D15	TBC1D17	15	15	3	5
TBC1D17	TBC1D15	15	15	3	5
TBX3	TBX2	15	15	3	5
TBX2	TBX3	15	15	3	5
TCP11L1	TCP11L2	15	15	3	5
TCP11L2	TCP11L1	15	15	3	5
TET2	TET1	15	15	3	5
TET1	TET2	15	15	3	5
THRA	THRB	15	15	3	5
THRB	THRA	15	15	3	5
TIAL1	TIA1	15	15	3	5
TIA1	TIAL1	15	15	3	5
TIAM2	TIAM1	15	15	3	5
TIAM1	TIAM2	15	15	3	5
TIMP3	TIMP4	15	15	3	5
TIMP4	TIMP3	15	15	3	5
TJP2	TJP3	15	15	3	5
TJP3	TJP2	15	15	3	5
TLK2	TLK1	5	5	1	5
TLK1	TLK2	15	15	3	5
TLN1	TLN2	15	15	3	5
TLN2	TLN1	15	15	3	5
TSPAN6	TSPAN7	15	15	3	5
TSPAN7	TSPAN6	15	15	3	5
TMC6	TMC5	15	15	3	5
TMC5	TMC6	15	15	3	5
TMC7	TMC8	12	12	3	4
TMC8	TMC7	15	15	3	5
TMEM50A	TMEM50B	15	15	3	5
TMEM50B	TMEM50A	15	15	3	5
TMEM59	TMEM59L	15	15	3	5
TMEM59L	TMEM59	15	15	3	5
TMEM184B	TMEM184A	15	15	3	5
TMEM184A	TMEM184B	15	15	3	5
TMUB1	TMUB2	15	15	3	5
TMUB2	TMUB1	15	15	3	5
TMX1	TMX4	15	15	3	5
TMX4	TMX1	15	15	3	5
TNK2	TNK1	15	15	3	5
TNK1	TNK2	15	15	3	5
TNKS2	TNKS	15	15	3	5
TNKS	TNKS2	15	15	3	5
TNPO1	TNPO2	15	15	3	5
TNPO2	TNPO1	15	15	3	5
TOB1	TOB2	15	15	3	5
TOB2	TOB1	15	15	3	5
TOMM40	TOMM40L	15	15	15	5
TOMM40L	TOMM40	15	15	3	5
TOP1	TOP1MT	15	15	15	5
TOP1MT	TOP1	15	15	3	5
TOP2A	TOP2B	15	15	15	5
TOP2B	TOP2A	15	15	3	5
TOX2	TOX	15	15	3	5
TOX	TOX2	15	15	3	5
TP53INP2	TP53INP1	15	15	3	5
TP53INP1	TP53INP2	6	6	3	2
TPM2	TPM1	15	15	3	5
TPM1	TPM2	15	15	3	5
TPST1	TPST2	15	15	3	5
TPST2	TPST1	15	15	3	5
TRAF3	TRAF5	15	15	3	5
TRAF5	TRAF3	15	15	3	5
TRAK1	TRAK2	15	15	3	5
TRAK2	TRAK1	15	15	3	5
TRIM35	TRIM72	12	12	3	4
TRIM72	TRIM35	15	15	3	5
TSPAN4	TSPAN9	15	15	3	5
TSPAN9	TSPAN4	6	6	3	2
TSPAN31	TSPAN13	15	15	3	5
TSPAN13	TSPAN31	15	15	3	5
TTC7B	TTC7A	15	15	3	5
TTC7A	TTC7B	15	15	3	5
TTC39A	TTC39B	15	15	3	5
TTC39B	TTC39A	15	15	3	5
TTYH3	TTYH2	15	15	3	5
TTYH2	TTYH3	12	12	3	4
TWF1	TWF2	15	15	3	5
TWF2	TWF1	15	15	3	5
TXNRD1	TXNRD3	15	15	3	5
TXNRD3	TXNRD1	15	15	3	5
UAP1	UAP1L1	15	15	3	5
UAP1L1	UAP1	15	15	3	5
UBA1	UBA7	15	15	15	5
UBA7	UBA1	15	15	3	5
UBE2Q1	UBE2Q2	15	15	3	5
UBE2Q2	UBE2Q1	15	15	3	5
UBE2V2	UBE2V1	6	6	3	2
UBE2V1	UBE2V2	5	5	1	5
UBQLN1	UBQLN4	15	15	3	5
UBQLN4	UBQLN1	15	15	3	5
UBR1	UBR2	15	15	3	5
UBR2	UBR1	15	15	3	5
UBTD2	UBTD1	9	9	3	3
UBTD1	UBTD2	15	15	3	5
UCHL3	UCHL1	15	15	3	5
UCHL1	UCHL3	15	15	3	5
UCK2	UCK1	15	15	3	5
UCK1	UCK2	15	15	3	5
ULK1	ULK2	15	15	3	5
ULK2	ULK1	15	15	3	5
UNC5B	UNC5C	15	15	3	5
UNC5C	UNC5B	15	15	3	5
UNC119	UNC119B	15	15	3	5
UNC119B	UNC119	15	15	3	5
UNK	UNKL	15	15	3	5
UNKL	UNK	15	15	3	5
USP21	USP2	15	15	3	5
USP2	USP21	15	15	3	5
USP46	USP12	15	15	3	5
USP12	USP46	10	10	2	5
USP16	USP45	15	15	3	5
USP45	USP16	15	15	3	5
USP31	USP43	15	15	3	5
USP43	USP31	15	15	3	5
USP38	USP35	15	15	3	5
USP35	USP38	15	15	3	5
VAPA	VAPB	15	15	3	5
VAPB	VAPA	15	15	3	5
VASH1	VASH2	15	15	3	5
VASH2	VASH1	15	15	3	5
VPS13A	VPS13C	15	15	3	5
VPS13C	VPS13A	15	15	3	5
VPS37B	VPS37C	15	15	3	5
VPS37C	VPS37B	15	15	3	5
WASF2	WASF1	15	15	3	5
WASF1	WASF2	15	15	3	5
WIPI2	WIPI1	15	15	3	5
WIPI1	WIPI2	15	15	3	5
WSB1	WSB2	15	15	3	5
WSB2	WSB1	15	15	3	5
WWC2	WWC1	15	15	3	5
WWC1	WWC2	15	15	3	5
XYLT2	XYLT1	15	15	3	5
XYLT1	XYLT2	15	15	3	5
YIF1B	YIF1A	15	15	3	5
YIF1A	YIF1B	15	15	3	5
YIPF2	YIPF1	15	15	3	5
YIPF1	YIPF2	15	15	3	5
ZCCHC11	ZCCHC6	15	15	3	5
ZCCHC6	ZCCHC11	15	15	3	5
ZDHHC18	ZDHHC14	15	15	3	5
ZDHHC14	ZDHHC18	15	15	3	5
ZFR	ZFR2	6	6	3	2
ZFR2	ZFR	15	15	3	5
ZFYVE16	ZFYVE9	15	15	3	5
ZFYVE9	ZFYVE16	15	15	3	5
ZMIZ2	ZMIZ1	15	15	3	5
ZMIZ1	ZMIZ2	15	15	3	5
ZNF503	ZNF703	15	15	3	5
ZNF703	ZNF503	15	15	3	5
